im,degroupe,r,g,b
1,0,208,208,208
1,1,0,0,255
2,0,224,224,224
2,0,170,178,183
2,1,147,189,255
2,1,0,0,160
3,0,224,224,224
3,0,177,177,177
3,1,153,178,253
3,1,0,0,249
4,0,207,207,207
4,1,96,204,253
4,1,2,1,236
4,1,141,209,234
5,0,173,173,173
5,1,61,193,252
5,1,33,34,253
6,0,191,191,191
6,1,98,201,254
6,1,147,202,205
6,1,0,0,248
7,-1,10,10,10
7,-1,100,100,100
7,0,201,202,204
7,1,33,186,244
7,1,49,71,214
7,1,137,200,216
8,-1,10,10,10
8,-1,100,100,100
8,0,195,201,203
8,1,33,186,244
8,1,49,71,214
8,1,137,200,216
9,-1,10,10,10
9,-1,100,100,100
9,0,202,199,209
9,1,56,174,241
9,1,31,71,214
9,1,137,200,216
10,-1,10,10,10
10,-1,100,100,100
10,0,197,199,192
10,1,49,182,225
10,1,36,73,189
10,1,137,200,216
11,-1,10,10,10
11,-1,100,100,100
11,0,188,198,197
11,1,44,179,235
11,1,36,73,189
11,1,137,200,216
12,-1,10,10,10
12,-1,100,100,100
12,0,192,200,202
12,1,41,180,248
12,1,40,63,188
12,1,137,200,216
13,-1,10,10,10
13,0,183,183,183
13,1,76,154,186
13,1,10,10,67
13,1,137,170,184
14,-1,10,10,10
14,0,203,199,196
14,0,135,133,129
14,1,162,188,206
14,1,88,156,234
14,1,87,78,190
14,1,147,185,214